timestamp,creator,index,post_url,status,button_text,button_class,button_href,elapsed_ms,error
2025-08-17T16:38:57,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2362.4,
2025-08-17T16:39:52,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,3004.6,
2025-08-17T16:51:53,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2666.0,
2025-08-17T17:02:07,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2399.4,
2025-08-17T17:02:36,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2483.4,
2025-08-17T17:21:07,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2301.4,
2025-08-17T18:05:07,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2679.7,
2025-08-17T18:06:05,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,2664.9,
2025-08-17T18:31:03,CreatorA,0,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1690.3,
2025-08-17T18:31:03,CreatorA,0,https://only-five.jp/posts/391137,buyable,購入する,buy-button,/posts/391137/charge_confirmation,1692.7,
2025-08-17T18:31:03,CreatorA,0,https://only-five.jp/posts/389871,sold_out,売り切れてます,buy-button disabled,#,1697.7,
2025-08-17T18:31:03,CreatorA,0,https://only-five.jp/posts/387729,sold_out,売り切れてます,buy-button disabled,#,1700.3,
2025-08-17T18:31:03,CreatorA,0,https://only-five.jp/posts/388168,sold_out,売り切れてます,buy-button disabled,#,1703.1,
2025-08-17T18:32:02,CreatorA,0,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1349.4,
2025-08-17T18:32:02,CreatorA,0,https://only-five.jp/posts/391137,buyable,購入する,buy-button,/posts/391137/charge_confirmation,1356.1,
